time,15cm,15cm_vel,20cm,20cm_vel,25cm,25cm_vel,30cm,30cm_vel,35cm,35cm_vel
6.75,0.037266667,0.402814815,0.028866667,0.549333333,0.026666667,0.691333333,0.0412,0.78837037,-0.021733333,0.863518519
6.8,0.0562,0.310259259,0.055733333,0.463037037,0.0612,0.599037037,0.0798,0.663888889,0.024,0.853222222
6.85,0.069533333,0.186703704,0.077,0.330925926,0.088866667,0.448555556,0.110133333,0.474925926,0.067133333,0.755185185
6.9,0.075666667,0.043703704,0.090133333,0.166259259,0.107733333,0.255333333,0.129133333,0.239888889,0.102466667,0.583
6.95,0.074066667,-0.103111111,0.0942,-0.013185185,0.1154,0.037555556,0.135,-0.017,0.127533333,0.35662963
7,0.064866667,-0.237851852,0.088733333,-0.190444445,0.111533333,-0.181555556,0.127266667,-0.269814815,0.139533333,0.09562963
7.05,0.049133333,-0.345,0.074333333,-0.347,0.096466667,-0.381037037,0.1068,-0.492481481,0.137466667,-0.173814815
7.1,0.029,-0.417407407,0.0526,-0.46762963,0.0718,-0.540037037,0.076,-0.66437037,0.121333333,-0.423
7.15,0.0058,-0.448962963,0.0256,-0.53937037,0.040266667,-0.643740741,0.037666667,-0.768555556,0.093266667,-0.625555556
7.2,-0.017733333,-0.434851852,-0.003466667,-0.557148148,0.004866667,-0.682777778,-0.003933333,-0.795444444,0.0562,-0.763407407
7.25,-0.039466667,-0.376592593,-0.032333333,-0.519111111,-0.030866667,-0.651222222,-0.045066667,-0.742444444,0.013933333,-0.825185185
7.3,-0.056866667,-0.281185185,-0.057533333,-0.427925926,-0.0628,-0.555444444,-0.081133333,-0.615407407,-0.029666667,-0.803407407
7.35,-0.0686,-0.159592593,-0.076733333,-0.295814815,-0.088533333,-0.405851852,-0.109,-0.428074074,-0.069666667,-0.700407407
7.4,-0.073466667,-0.022185185,-0.0882,-0.135814815,-0.105,-0.216185185,-0.1256,-0.199185185,-0.1024,-0.529222222
7.45,-0.070933333,0.117555556,-0.090866667,0.037555555,-0.110933333,-0.006740741,-0.129666667,0.048222222,-0.124666667,-0.306074074
7.5,-0.0612,0.244518519,-0.084333333,0.207333333,-0.105666667,0.202333333,-0.120466667,0.288222222,-0.134133333,-0.054518519
